Crash ID,State,Month,Year,Dayweek,Time,Crash_Type,Number_of_Fatalities,Bus_Involvement,Rigid_Truck_Involvement,Articulated_Truck_Involvement ,Speed_Limit,National_Remoteness_Region,SA4_Name_2016,LGA_Name_2017,National_Road_Type,Christmas_Period,Easter_Period
20171171,NSW,July,2017,Tuesday,01:09,Single vehicle,1,No,No,No,80,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Arterial Road,No,No
20171178,NSW,July,2017,Monday,11:20,Multiple vehicle,1,No,No,Yes,80,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Arterial Road,No,No
20171181,NSW,July,2017,Saturday,21:45,Pedestrian,1,No,No,Yes,110,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,National Or State Highway,No,No
20171182,NSW,July,2017,Friday,15:50,Single vehicle,1,No,No,No,110,Inner Regional Australia,Capital Region,Yass Valley,National Or State Highway,No,No
20171213,NSW,July,2017,Sunday,05:30,Single vehicle,1,No,No,No,110,Outer Regional Australia,Far West and Orana,Narromine,National Or State Highway,No,No
20171214,NSW,July,2017,Sunday,16:35,Single vehicle,1,No,No,No,110,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,National Or State Highway,No,No
20171218,NSW,July,2017,Monday,07:20,Multiple vehicle,1,No,Yes,No,100,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Sub-Arterial Road,No,No
20171222,NSW,July,2017,Wednesday,04:15,Pedestrian,1,No,No,No,100,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,National Or State Highway,No,No
20171227,NSW,July,2017,Thursday,17:10,Single vehicle,1,No,No,No,80,Outer Regional Australia,New England and North West,Glen Innes Severn,Local Road,No,No
20171233,NSW,July,2017,Tuesday,14:30,Pedestrian,1,No,No,No,60,Major Cities of Australia,Sydney - South West,Fairfield,Collector Road,No,No
20171256,NSW,July,2017,Sunday,12:30,Multiple vehicle,1,No,No,No,80,Inner Regional Australia,Hunter Valley exc Newcastle,Dungog,Sub-Arterial Road,No,No
20171261,NSW,July,2017,Tuesday,07:50,Pedestrian,1,No,Yes,No,50,Major Cities of Australia,Central Coast,Central Coast,Local Road,No,No
20171274,NSW,July,2017,Monday,12:30,Single vehicle,1,No,No,No,80,Inner Regional Australia,Richmond - Tweed,Byron,Arterial Road,No,No
20171285,NSW,July,2017,Monday,17:10,Multiple vehicle,1,No,Yes,No,70,Major Cities of Australia,Sydney - Parramatta,Parramatta,Arterial Road,No,No
20171294,NSW,July,2017,Wednesday,13:05,Multiple vehicle,2,No,No,Yes,40,Outer Regional Australia,New England and North West,Tamworth Regional,National Or State Highway,No,No
20171319,NSW,July,2017,Saturday,19:30,Multiple vehicle,1,No,No,No,100,Outer Regional Australia,Murray,Wentworth,Local Road,No,No
20171325,NSW,July,2017,Saturday,07:35,Multiple vehicle,2,No,No,Yes,110,Outer Regional Australia,New England and North West,Moree Plains,National Or State Highway,No,No
20171328,NSW,July,2017,Saturday,06:22,Single vehicle,1,No,No,No,50,Major Cities of Australia,Sydney - Parramatta,Canterbury-Bankstown,Collector Road,No,No
20171345,NSW,July,2017,Sunday,06:30,Multiple vehicle,2,No,No,No,110,Remote Australia,Murray,Wentworth,National Or State Highway,No,No
20171350,NSW,July,2017,Thursday,09:40,Pedestrian,1,No,No,No,40,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby,Collector Road,No,No
20171009,NSW,June,2017,Sunday,16:30,Single vehicle,1,No,No,No,100,Inner Regional Australia,Central West,Orange,Sub-Arterial Road,No,No
20171018,NSW,June,2017,Sunday,02:00,Multiple vehicle,2,No,No,No,50,Major Cities of Australia,Illawarra,Wollongong,Collector Road,No,No
20171023,NSW,June,2017,Saturday,03:11,Multiple vehicle,1,Yes,No,No,40,Major Cities of Australia,Sydney - City and Inner South,Sydney,Collector Road,No,No
20171031,NSW,June,2017,Wednesday,08:10,Multiple vehicle,1,No,No,No,50,Inner Regional Australia,Richmond - Tweed,Kyogle,Local Road,No,No
20171032,NSW,June,2017,Thursday,14:15,Single vehicle,1,No,No,No,110,Inner Regional Australia,Capital Region,Yass Valley,National Or State Highway,No,No
20171037,NSW,June,2017,Thursday,06:55,Multiple vehicle,1,No,No,Yes,60,Major Cities of Australia,Sydney - Parramatta,Parramatta,Collector Road,No,No
20171046,NSW,June,2017,Wednesday,12:00,Single vehicle,1,No,No,No,100,Inner Regional Australia,Central West,Bathurst Regional,Arterial Road,No,No
20171061,NSW,June,2017,Thursday,14:10,Multiple vehicle,1,No,No,No,60,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Sub-Arterial Road,No,No
20171108,NSW,June,2017,Saturday,15:30,Single vehicle,1,No,No,No,70,Outer Regional Australia,Mid North Coast,Kempsey,Local Road,No,No
20171120,NSW,June,2017,Wednesday,08:40,Multiple vehicle,1,No,Yes,No,100,Inner Regional Australia,Riverina,Snowy Valleys,National Or State Highway,No,No
20171121,NSW,June,2017,Tuesday,17:20,Pedestrian,1,No,No,No,50,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby,Collector Road,No,No
20171130,NSW,June,2017,Sunday,18:45,Single vehicle,1,No,No,No,100,Outer Regional Australia,New England and North West,Tamworth Regional,National Or State Highway,No,No
20171135,NSW,June,2017,Tuesday,18:09,Pedestrian,1,No,No,No,50,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,Local Road,No,No
20171144,NSW,June,2017,Saturday,12:39,Pedestrian,1,No,No,No,50,Major Cities of Australia,Sydney - South West,Fairfield,Collector Road,No,No
20171219,NSW,June,2017,Monday,15:45,Multiple vehicle,1,No,No,No,80,Inner Regional Australia,Richmond - Tweed,Ballina,Sub-Arterial Road,No,No
20171236,NSW,June,2017,Saturday,10:00,Single vehicle,1,No,No,No,100,Outer Regional Australia,Murray,Berrigan,Local Road,No,No
20171242,NSW,June,2017,Saturday,00:10,Single vehicle,1,No,No,No,100,Inner Regional Australia,Capital Region,Upper Lachlan,Arterial Road,No,No
20171248,NSW,June,2017,Sunday,12:48,Single vehicle,1,No,No,No,100,Outer Regional Australia,Central West,Warrumbungle,National Or State Highway,No,No
20171252,NSW,June,2017,Wednesday,18:10,Pedestrian,2,No,No,No,40,Major Cities of Australia,Illawarra,Wollongong,Collector Road,No,No
20171269,NSW,June,2017,Monday,02:25,Single vehicle,1,No,No,No,110,Outer Regional Australia,Murray,Greater Hume,National Or State Highway,No,No
20171291,NSW,June,2017,Friday,10:10,Pedestrian,1,No,No,No,50,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Local Road,No,No
20171303,NSW,June,2017,Sunday,14:25,Multiple vehicle,1,No,No,No,80,Outer Regional Australia,Riverina,Griffith,Local Road,No,No
20171312,NSW,June,2017,Sunday,15:18,Single vehicle,1,No,No,Yes,100,Outer Regional Australia,Central West,Warrumbungle,National Or State Highway,No,No
20171316,NSW,June,2017,Thursday,12:55,Multiple vehicle,2,No,No,Yes,110,Outer Regional Australia,Murray,Edward River,National Or State Highway,No,No
20171317,NSW,June,2017,Wednesday,10:00,Single vehicle,1,No,No,No,80,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Arterial Road,No,No
20171322,NSW,June,2017,Thursday,01:35,Single vehicle,1,No,No,No,60,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Blue Mountains,Arterial Road,No,No
20171332,NSW,June,2017,Friday,13:37,Multiple vehicle,1,No,Yes,No,60,Major Cities of Australia,Sydney - Parramatta,Parramatta,Local Road,No,No
20171349,NSW,June,2017,Saturday,20:50,Single vehicle,1,No,No,No,100,Outer Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Arterial Road,No,No
20171001,NSW,May,2017,Tuesday,14:11,Multiple vehicle,1,No,No,No,110,Inner Regional Australia,Capital Region,Goulburn Mulwaree,National Or State Highway,No,No
20171016,NSW,May,2017,Thursday,14:50,Single vehicle,1,No,No,No,90,Inner Regional Australia,Capital Region,Eurobodalla,Arterial Road,No,No
20171017,NSW,May,2017,Wednesday,18:00,Pedestrian,1,No,No,No,60,Major Cities of Australia,Sydney - City and Inner South,Sydney,Pedestrian Thoroughfare,No,No
20171043,NSW,May,2017,Thursday,04:36,Multiple vehicle,2,No,No,No,60,Major Cities of Australia,Sydney - City and Inner South,Inner West,Local Road,No,No
20171064,NSW,May,2017,Friday,03:00,Single vehicle,1,No,No,No,50,Inner Regional Australia,Richmond - Tweed,Kyogle,Arterial Road,No,No
20171075,NSW,May,2017,Thursday,17:25,Single vehicle,1,No,No,No,50,Major Cities of Australia,Sydney - Outer South West,Camden,Local Road,No,No
20171095,NSW,May,2017,Friday,08:25,Single vehicle,1,Yes,No,No,50,Major Cities of Australia,Sydney - Parramatta,Parramatta,Collector Road,No,No
20171097,NSW,May,2017,Tuesday,13:07,Multiple vehicle,1,No,No,No,50,Major Cities of Australia,Illawarra,Shellharbour,Local Road,No,No
20171098,NSW,May,2017,Friday,14:30,Single vehicle,1,No,No,No,100,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,National Or State Highway,No,No
20171102,NSW,May,2017,Tuesday,21:00,Single vehicle,1,No,No,No,70,Major Cities of Australia,Sydney - City and Inner South,Bayside,National Or State Highway,No,No
20171116,NSW,May,2017,Tuesday,10:15,Multiple vehicle,1,No,No,Yes,110,Major Cities of Australia,Central Coast,Central Coast,National Or State Highway,No,No
20171151,NSW,May,2017,Thursday,06:40,Single vehicle,1,No,No,No,50,Major Cities of Australia,Sydney - South West,Liverpool,Collector Road,No,No
20171158,NSW,May,2017,Monday,06:00,Single vehicle,1,No,No,Yes,100,Outer Regional Australia,Murray,Berrigan,National Or State Highway,No,No
20171168,NSW,May,2017,Tuesday,12:15,Multiple vehicle,1,No,No,No,70,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Sub-Arterial Road,No,No
20171184,NSW,May,2017,Saturday,12:15,Multiple vehicle,1,No,No,No,60,Major Cities of Australia,Central Coast,Central Coast,Local Road,No,No
20171191,NSW,May,2017,Saturday,17:40,Pedestrian,1,No,No,No,50,Outer Regional Australia,New England and North West,Gunnedah,National Or State Highway,No,No
20171194,NSW,May,2017,Saturday,14:00,Single vehicle,1,No,No,No,100,Outer Regional Australia,Capital Region,Snowy Monaro Regional,National Or State Highway,No,No
20171198,NSW,May,2017,Sunday,00:35,Pedestrian,1,Yes,No,No,80,Major Cities of Australia,Sydney - North Sydney and Hornsby,North Sydney,National Or State Highway,No,No
20171205,NSW,May,2017,Saturday,14:20,Single vehicle,1,No,No,No,100,Outer Regional Australia,Riverina,Leeton,Sub-Arterial Road,No,No
20171217,NSW,May,2017,Sunday,12:00,Single vehicle,1,No,No,No,60,Inner Regional Australia,Illawarra,Kiama,Arterial Road,No,No
20171268,NSW,May,2017,Sunday,05:50,Pedestrian,1,No,No,No,100,Outer Regional Australia,Central West,Forbes,Arterial Road,No,No
20171293,NSW,May,2017,Friday,07:30,Multiple vehicle,1,No,No,No,100,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,National Or State Highway,No,No
20171295,NSW,May,2017,Saturday,03:30,Multiple vehicle,2,No,No,Yes,110,Outer Regional Australia,Far West and Orana,Dubbo Regional,National Or State Highway,No,No
20171296,NSW,May,2017,Monday,06:06,Multiple vehicle,3,No,No,Yes,110,Outer Regional Australia,New England and North West,Moree Plains,National Or State Highway,No,No
20171300,NSW,May,2017,Tuesday,20:20,Pedestrian,1,No,No,No,60,Outer Regional Australia,Riverina,Griffith,Sub-Arterial Road,No,No
20171301,NSW,May,2017,Sunday,22:20,Pedestrian,1,No,No,No,50,Inner Regional Australia,Central West,Orange,National Or State Highway,No,No
20171305,NSW,May,2017,Wednesday,07:05,Multiple vehicle,1,No,Yes,No,100,Inner Regional Australia,Richmond - Tweed,Tweed,Arterial Road,No,No
20171324,NSW,May,2017,Tuesday,13:30,Pedestrian,1,No,No,No,50,Major Cities of Australia,Sydney - Inner West,Inner West,Local Road,No,No
20171342,NSW,May,2017,Tuesday,14:44,Multiple vehicle,1,No,No,No,90,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Arterial Road,No,No
20171343,NSW,May,2017,Thursday,10:05,Multiple vehicle,1,No,Yes,Yes,80,Major Cities of Australia,Sydney - Parramatta,Parramatta,National Or State Highway,No,No
20171348,NSW,May,2017,Saturday,18:30,Multiple vehicle,1,No,No,No,50,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Collector Road,No,No
20171003,NSW,April,2017,Sunday,13:50,Multiple vehicle,1,No,No,Yes,80,Outer Regional Australia,Richmond - Tweed,Kyogle,Arterial Road,No,No
20171006,NSW,April,2017,Tuesday,21:50,Single vehicle,1,No,No,No,50,Major Cities of Australia,Sydney - Sutherland,Sutherland,Local Road,No,No
20171020,NSW,April,2017,Monday,19:30,Single vehicle,1,No,No,No,80,Inner Regional Australia,Richmond - Tweed,Tweed,Sub-Arterial Road,No,Yes
20171029,NSW,April,2017,Thursday,06:03,Multiple vehicle,1,No,No,No,100,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,Local Road,No,Yes
20171036,NSW,April,2017,Tuesday,10:15,Single vehicle,1,No,No,No,110,Inner Regional Australia,Capital Region,Goulburn Mulwaree,National Or State Highway,No,No
20171049,NSW,April,2017,Wednesday,13:30,Multiple vehicle,1,No,Yes,No,80,Major Cities of Australia,Sydney - Inner West,Strathfield,National Or State Highway,No,No
20171051,NSW,April,2017,Monday,13:30,Single vehicle,3,No,No,No,60,Major Cities of Australia,Richmond - Tweed,Tweed,Arterial Road,No,No
20171072,NSW,April,2017,Wednesday,12:50,Single vehicle,1,No,No,No,100,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road,No,No
20171096,NSW,April,2017,Saturday,15:40,Single vehicle,1,No,No,No,100,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,Sub-Arterial Road,No,No
20171106,NSW,April,2017,Wednesday,17:10,Single vehicle,1,No,No,No,100,Outer Regional Australia,Central West,Parkes,Arterial Road,No,No
20171107,NSW,April,2017,Wednesday,07:30,Multiple vehicle,1,No,Yes,No,60,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Arterial Road,No,No
20171118,NSW,April,2017,Thursday,15:50,Multiple vehicle,1,No,No,No,100,Outer Regional Australia,Capital Region,Eurobodalla,National Or State Highway,No,No
20171131,NSW,April,2017,Wednesday,12:10,Single vehicle,1,No,No,No,100,Outer Regional Australia,New England and North West,Liverpool Plains,National Or State Highway,No,No
20171160,NSW,April,2017,Thursday,21:30,Single vehicle,1,No,No,No,100,Inner Regional Australia,Murray,Greater Hume,Arterial Road,No,Yes
20171166,NSW,April,2017,Wednesday,07:15,Multiple vehicle,1,No,No,No,100,Outer Regional Australia,New England and North West,Inverell,Sub-Arterial Road,No,No
20171196,NSW,April,2017,Tuesday,19:00,Single vehicle,1,No,No,No,100,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Local Road,No,No
20171203,NSW,April,2017,Sunday,00:01,Single vehicle,1,No,No,No,50,Inner Regional Australia,Murray,Albury,Local Road,No,No
20171210,NSW,April,2017,Tuesday,11:43,Multiple vehicle,2,No,No,Yes,90,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,National Or State Highway,No,No
20171245,NSW,April,2017,Tuesday,10:15,Multiple vehicle,1,No,No,Yes,100,Outer Regional Australia,Riverina,Narrandera,National Or State Highway,No,No
20171247,NSW,April,2017,Saturday,18:35,Pedestrian,1,No,No,No,50,Major Cities of Australia,Sydney - Inner South West,Bayside,Local Road,No,Yes
20171251,NSW,April,2017,Saturday,18:15,Multiple vehicle,1,No,No,No,60,Major Cities of Australia,Sydney - City and Inner South,Bayside,Local Road,No,No
20171259,NSW,April,2017,Sunday,11:00,Single vehicle,1,No,No,No,100,Outer Regional Australia,New England and North West,Tenterfield,National Or State Highway,No,No
20171260,NSW,April,2017,Wednesday,15:38,Pedestrian,1,No,Yes,No,40,Major Cities of Australia,Central Coast,Central Coast,Collector Road,No,No
20171270,NSW,April,2017,Wednesday,11:18,Pedestrian,1,Yes,No,No,50,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Local Road,No,No
20171271,NSW,April,2017,Saturday,15:40,Multiple vehicle,1,No,No,No,100,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Arterial Road,No,No
20171272,NSW,April,2017,Saturday,14:50,Single vehicle,1,No,No,No,110,Very Remote Australia,Far West and Orana,Cobar,Sub-Arterial Road,No,Yes
20171315,NSW,April,2017,Saturday,09:20,Single vehicle,1,No,No,No,80,Outer Regional Australia,Hunter Valley exc Newcastle,Singleton,Arterial Road,No,No
20171330,NSW,April,2017,Thursday,08:06,Single vehicle,1,No,No,No,60,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Sub-Arterial Road,No,No
20171011,NSW,March,2017,Sunday,07:50,Pedestrian,1,No,No,No,40,Major Cities of Australia,Sydney - South West,Fairfield,Collector Road,No,No
20171042,NSW,March,2017,Saturday,13:15,Single vehicle,1,No,No,No,100,Outer Regional Australia,New England and North West,Narrabri,National Or State Highway,No,No
20171057,NSW,March,2017,Tuesday,07:45,Multiple vehicle,2,No,No,No,110,Inner Regional Australia,Sydney - Outer South West,Wollondilly,National Or State Highway,No,No
20171058,NSW,March,2017,Friday,07:58,Multiple vehicle,1,Yes,No,No,80,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Hawkesbury,Collector Road,No,No
20171062,NSW,March,2017,Wednesday,14:00,Multiple vehicle,1,No,No,No,70,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Sub-Arterial Road,No,No
20171066,NSW,March,2017,Saturday,14:00,Single vehicle,1,No,No,No,100,Outer Regional Australia,Mid North Coast,Port Macquarie-Hastings,National Or State Highway,No,No
20171068,NSW,March,2017,Wednesday,21:00,Single vehicle,1,No,No,No,80,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Sub-Arterial Road,No,No
20171103,NSW,March,2017,Monday,16:00,Single vehicle,1,No,No,No,100,Inner Regional Australia,Capital Region,Upper Lachlan,Arterial Road,No,No
20171115,NSW,March,2017,Wednesday,20:10,Multiple vehicle,1,No,No,Yes,100,Inner Regional Australia,Capital Region,Yass Valley,Arterial Road,No,No
20171142,NSW,March,2017,Thursday,07:39,Multiple vehicle,1,No,No,No,100,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,National Or State Highway,No,No
20171154,NSW,March,2017,Friday,05:20,Multiple vehicle,2,No,No,Yes,100,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Arterial Road,No,No
20171164,NSW,March,2017,Tuesday,16:00,Pedestrian,1,No,No,No,50,Inner Regional Australia,Riverina,Cootamundra-Gundagai,Local Road,No,No
20171175,NSW,March,2017,Monday,03:50,Multiple vehicle,1,No,Yes,No,60,Major Cities of Australia,Sydney - Blacktown,Blacktown,Local Road,No,No
20171177,NSW,March,2017,Wednesday,13:03,Single vehicle,1,No,No,No,60,Inner Regional Australia,Central West,Bathurst Regional,Local Road,No,No
20171188,NSW,March,2017,Thursday,17:20,Multiple vehicle,1,No,No,No,50,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Local Road,No,No
20171201,NSW,March,2017,Friday,08:30,Single vehicle,1,No,No,No,100,Inner Regional Australia,Central West,Blayney,Arterial Road,No,No
20171209,NSW,March,2017,Saturday,22:25,Single vehicle,2,No,No,No,70,Major Cities of Australia,Sydney - City and Inner South,Randwick,Arterial Road,No,No
20171225,NSW,March,2017,Friday,15:15,Multiple vehicle,1,No,No,No,100,Inner Regional Australia,New England and North West,Tamworth Regional,National Or State Highway,No,No
20171229,NSW,March,2017,Monday,20:25,Single vehicle,1,No,No,No,100,Inner Regional Australia,Capital Region,Snowy Monaro Regional,National Or State Highway,No,No
20171239,NSW,March,2017,Thursday,11:50,Multiple vehicle,1,No,No,Yes,100,Inner Regional Australia,Central West,Cabonne,Arterial Road,No,No
20171250,NSW,March,2017,Sunday,08:05,Pedestrian,1,No,No,No,50,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Local Road,No,No
20171255,NSW,March,2017,Wednesday,11:00,Pedestrian,1,No,No,No,50,Major Cities of Australia,Sydney - South West,Liverpool,Local Road,No,No
20171286,NSW,March,2017,Thursday,17:30,Multiple vehicle,1,No,No,No,100,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,Arterial Road,No,No
20171318,NSW,March,2017,Saturday,10:30,Single vehicle,1,No,No,No,100,Inner Regional Australia,Central West,Bathurst Regional,National Or State Highway,No,No
20171323,NSW,March,2017,Wednesday,07:30,Single vehicle,1,No,No,No,100,Inner Regional Australia,Mid North Coast,Mid-Coast,Arterial Road,No,No
20171055,NSW,February,2017,Wednesday,07:45,Single vehicle,1,No,No,No,80,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Sub-Arterial Road,No,No
20171060,NSW,February,2017,Wednesday,15:50,Multiple vehicle,1,No,No,Yes,80,Major Cities of Australia,Illawarra,Wollongong,Arterial Road,No,No
20171070,NSW,February,2017,Thursday,21:10,Multiple vehicle,1,No,No,No,60,Major Cities of Australia,Sydney - South West,Fairfield,Arterial Road,No,No
20171071,NSW,February,2017,Friday,17:44,Single vehicle,1,No,No,No,80,Inner Regional Australia,Newcastle and Lake Macquarie,Lake Macquarie,Access Road,No,No
20171105,NSW,February,2017,Friday,02:00,Multiple vehicle,1,No,No,Yes,80,Outer Regional Australia,Mid North Coast,Nambucca,National Or State Highway,No,No
20171117,NSW,February,2017,Saturday,04:25,Multiple vehicle,1,No,No,Yes,110,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,National Or State Highway,No,No
20171124,NSW,February,2017,Saturday,20:30,Single vehicle,1,No,No,No,100,Outer Regional Australia,Far West and Orana,Warrumbungle,Arterial Road,No,No
20171162,NSW,February,2017,Wednesday,21:50,Multiple vehicle,1,No,No,Yes,110,Inner Regional Australia,Sydney - North Sydney and Hornsby,Hornsby,National Or State Highway,No,No
20171169,NSW,February,2017,Sunday,16:15,Multiple vehicle,1,No,No,No,110,Inner Regional Australia,Mid North Coast,Mid-Coast,National Or State Highway,No,No
20171183,NSW,February,2017,Friday,12:50,Pedestrian,1,No,Yes,No,50,Major Cities of Australia,Sydney - City and Inner South,Sydney,Local Road,No,No
20171208,NSW,February,2017,Thursday,18:20,Multiple vehicle,1,No,Yes,No,80,Outer Regional Australia,Coffs Harbour - Grafton,Bellingen,Access Road,No,No
20171216,NSW,February,2017,Monday,14:50,Multiple vehicle,1,No,No,No,50,Major Cities of Australia,Sydney - City and Inner South,Inner West,Collector Road,No,No
20171264,NSW,February,2017,Sunday,12:50,Single vehicle,1,No,No,No,60,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Arterial Road,No,No
20171273,NSW,February,2017,Thursday,17:06,Single vehicle,1,No,No,No,100,Inner Regional Australia,Riverina,Snowy Valleys,Arterial Road,No,No
20171290,NSW,February,2017,Thursday,13:00,Single vehicle,1,No,No,No,50,Inner Regional Australia,Mid North Coast,Mid-Coast,Local Road,No,No
20171297,NSW,February,2017,Tuesday,09:48,Multiple vehicle,1,No,Yes,No,110,Outer Regional Australia,Far West and Orana,Narromine,National Or State Highway,No,No
20171327,NSW,February,2017,Friday,08:26,Pedestrian,1,No,No,No,40,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby,Collector Road,No,No
20171336,NSW,February,2017,Thursday,21:15,Multiple vehicle,1,No,No,No,60,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Arterial Road,No,No
20171004,NSW,January,2017,Friday,18:00,Single vehicle,1,No,No,No,100,Outer Regional Australia,Far West and Orana,Dubbo Regional,Local Road,No,No
20171005,NSW,January,2017,Saturday,17:25,Multiple vehicle,1,No,No,No,70,Major Cities of Australia,Sydney - South West,Liverpool,Local Road,No,No
20171024,NSW,January,2017,Monday,14:28,Multiple vehicle,2,No,No,No,100,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,National Or State Highway,No,No
20171026,NSW,January,2017,Thursday,21:50,Single vehicle,1,No,No,No,100,Outer Regional Australia,Central West,Parkes,Arterial Road,No,No
20171047,NSW,January,2017,Wednesday,21:30,Single vehicle,1,No,No,No,100,Outer Regional Australia,New England and North West,Tamworth Regional,Sub-Arterial Road,No,No
20171050,NSW,January,2017,Tuesday,17:25,Multiple vehicle,1,No,No,No,90,Inner Regional Australia,Mid North Coast,Mid-Coast,Arterial Road,No,No
20171101,NSW,January,2017,Monday,02:45,Pedestrian,1,No,Yes,No,60,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Arterial Road,No,No
20171112,NSW,January,2017,Monday,12:05,Pedestrian,1,No,Yes,No,60,Major Cities of Australia,Sydney - Inner South West,Bayside,Arterial Road,No,No
20171122,NSW,January,2017,Friday,21:30,Single vehicle,1,No,No,No,100,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,Arterial Road,No,No
20171125,NSW,January,2017,Tuesday,17:40,Multiple vehicle,1,No,No,No,80,Inner Regional Australia,Mid North Coast,Mid-Coast,Sub-Arterial Road,No,No
20171136,NSW,January,2017,Friday,13:55,Multiple vehicle,1,No,No,Yes,90,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,National Or State Highway,No,No
20171143,NSW,January,2017,Monday,13:30,Single vehicle,1,No,No,No,80,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Sub-Arterial Road,No,No
20171170,NSW,January,2017,Monday,10:50,Single vehicle,1,No,No,No,70,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,Local Road,No,No
20171172,NSW,January,2017,Tuesday,14:20,Multiple vehicle,1,No,No,No,100,Major Cities of Australia,Central Coast,Central Coast,Collector Road,No,No
20171200,NSW,January,2017,Monday,18:10,Single vehicle,1,No,No,No,50,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Local Road,Yes,No
20171204,NSW,January,2017,Sunday,22:25,Single vehicle,1,No,No,No,100,Inner Regional Australia,Riverina,Junee,Arterial Road,No,No
20171230,NSW,January,2017,Friday,23:55,Single vehicle,1,No,No,No,100,Inner Regional Australia,Mid North Coast,Mid-Coast,National Or State Highway,No,No
20171237,NSW,January,2017,Tuesday,14:15,Multiple vehicle,2,No,Yes,Yes,100,Outer Regional Australia,Riverina,Leeton,Arterial Road,Yes,No
20171240,NSW,January,2017,Saturday,07:50,Single vehicle,1,No,Yes,No,70,Inner Regional Australia,Capital Region,Eurobodalla,Arterial Road,No,No
20171254,NSW,January,2017,Monday,13:15,Multiple vehicle,1,No,No,No,80,Outer Regional Australia,Hunter Valley exc Newcastle,Singleton,Arterial Road,Yes,No
20171265,NSW,January,2017,Wednesday,13:12,Multiple vehicle,3,No,No,No,60,Major Cities of Australia,Sydney - South West,Fairfield,Arterial Road,No,No
20171266,NSW,January,2017,Sunday,22:00,Pedestrian,1,No,No,No,50,Major Cities of Australia,Sydney - Sutherland,Sutherland,Local Road,No,No
20171279,NSW,January,2017,Wednesday,11:55,Multiple vehicle,1,Yes,No,Yes,100,Major Cities of Australia,Illawarra,Wollongong,National Or State Highway,No,No
20171284,NSW,January,2017,Thursday,10:18,Pedestrian,1,No,No,Yes,60,Major Cities of Australia,Sydney - Blacktown,Blacktown,Collector Road,No,No
20171304,NSW,January,2017,Saturday,12:58,Multiple vehicle,1,No,No,No,100,Outer Regional Australia,Capital Region,Eurobodalla,National Or State Highway,No,No
20171351,NSW,January,2017,Friday,14:29,Single vehicle,1,No,No,No,50,Outer Regional Australia,Central West,Cabonne,Arterial Road,No,No
